x,y
0.000000000000000000e+00,3.301335372681509117e+00
2.178450000000000109e-01,3.290086932814935583e+00
7.252969999999999695e-01,3.254029917582982545e+00
1.508817000000000075e+00,3.185604086860392314e+00
2.549981999999999971e+00,3.079376385437453401e+00
3.824370000000000047e+00,2.944519068020993835e+00
5.302096999999999838e+00,2.876513564437174431e+00
6.948548999999999864e+00,4.351321476955986256e+00
8.725113000000000341e+00,8.809147709650702041e+00
1.059018000000000015e+01,9.414679931631409815e+00
1.250000000000000000e+01,9.599394695083967477e+00
1.440981200000000051e+01,9.775778742492416740e+00
1.627487400000000051e+01,9.402185378716970021e+00
1.805145699999999920e+01,4.989645885465351149e+00
1.969789300000000054e+01,3.406820449365477899e+00
2.117563799999999929e+01,3.298698902697023705e+00
2.245001800000000003e+01,3.269677473272601720e+00
2.349118299999999948e+01,3.265450932399380779e+00
2.427470500000000087e+01,3.278372368053087627e+00
2.478215499999999949e+01,3.294574837631975672e+00
2.500000000000000000e+01,3.301335372681509117e+00
